1895->Feature of type 3 starts(4, 8) ends(28, 14) in (x, y) format
271->Feature of type 3 starts(5, 5) ends(30, 10) in (x, y) format
449->Feature of type 1 starts(7, 5) ends(31, 10) in (x, y) format
461->Feature of type 1 starts(7, 5) ends(31, 10) in (x, y) format
473->Feature of type 1 starts(7, 5) ends(31, 10) in (x, y) format
521->Feature of type 1 starts(8, 5) ends(30, 10) in (x, y) format
533->Feature of type 1 starts(8, 5) ends(31, 10) in (x, y) format
545->Feature of type 1 starts(8, 5) ends(31, 10) in (x, y) format
557->Feature of type 1 starts(8, 5) ends(31, 10) in (x, y) format
569->Feature of type 1 starts(8, 5) ends(31, 10) in (x, y) format
1794->Feature of type 2 starts(3, 8) ends(27, 13) in (x, y) format
2342->Feature of type 2 starts(3, 9) ends(25, 13) in (x, y) format
2354->Feature of type 2 starts(3, 9) ends(26, 13) in (x, y) format
2366->Feature of type 2 starts(3, 9) ends(27, 13) in (x, y) format
2474->Feature of type 2 starts(4, 9) ends(29, 13) in (x, y) format
2486->Feature of type 2 starts(4, 9) ends(30, 13) in (x, y) format
2603->Feature of type 3 starts(6, 9) ends(25, 15) in (x, y) format
2634->Feature of type 2 starts(6, 9) ends(28, 14) in (x, y) format
2642->Feature of type 2 starts(6, 9) ends(29, 13) in (x, y) format
1883->Feature of type 3 starts(4, 8) ends(27, 14) in (x, y) format
2651->Feature of type 3 starts(6, 9) ends(29, 15) in (x, y) format
2074->Feature of type 2 starts(6, 8) ends(29, 14) in (x, y) format
2661->Feature of type 1 starts(6, 9) ends(30, 15) in (x, y) format
2673->Feature of type 1 starts(6, 9) ends(31, 15) in (x, y) format
2685->Feature of type 1 starts(6, 9) ends(31, 15) in (x, y) format
437->Feature of type 1 starts(7, 5) ends(30, 10) in (x, y) format
2378->Feature of type 2 starts(3, 9) ends(28, 13) in (x, y) format
2450->Feature of type 2 starts(4, 9) ends(27, 13) in (x, y) format
2462->Feature of type 2 starts(4, 9) ends(28, 13) in (x, y) format
2529->Feature of type 1 starts(5, 9) ends(26, 15) in (x, y) format
2546->Feature of type 2 starts(5, 9) ends(28, 13) in (x, y) format
2607->Feature of type 3 starts(6, 9) ends(26, 13) in (x, y) format
2613->Feature of type 1 starts(6, 9) ends(26, 15) in (x, y) format
2630->Feature of type 2 starts(6, 9) ends(28, 13) in (x, y) format
2747->Feature of type 3 starts(7, 9) ends(30, 15) in (x, y) format
