Index 240->Feature of type 0 starts(5, 5) ends(28, 9) in (x, y) format
Index 241->Feature of type 1 starts(5, 5) ends(28, 9) in (x, y) format
Index 242->Feature of type 2 starts(5, 5) ends(28, 9) in (x, y) format
Index 243->Feature of type 3 starts(5, 5) ends(28, 9) in (x, y) format
Index 244->Feature of type 0 starts(5, 5) ends(28, 10) in (x, y) format
Index 245->Feature of type 1 starts(5, 5) ends(28, 10) in (x, y) format
Index 246->Feature of type 2 starts(5, 5) ends(28, 10) in (x, y) format
Index 247->Feature of type 3 starts(5, 5) ends(28, 10) in (x, y) format
Index 248->Feature of type 0 starts(5, 5) ends(28, 11) in (x, y) format
Index 249->Feature of type 1 starts(5, 5) ends(28, 11) in (x, y) format
Index 250->Feature of type 2 starts(5, 5) ends(28, 11) in (x, y) format
Index 251->Feature of type 3 starts(5, 5) ends(28, 11) in (x, y) format
Index 252->Feature of type 0 starts(5, 5) ends(29, 9) in (x, y) format
Index 253->Feature of type 1 starts(5, 5) ends(29, 9) in (x, y) format
Index 254->Feature of type 2 starts(5, 5) ends(29, 9) in (x, y) format
Index 255->Feature of type 3 starts(5, 5) ends(29, 9) in (x, y) format
Index 256->Feature of type 0 starts(5, 5) ends(29, 10) in (x, y) format
Index 257->Feature of type 1 starts(5, 5) ends(29, 10) in (x, y) format
Index 258->Feature of type 2 starts(5, 5) ends(29, 10) in (x, y) format
Index 259->Feature of type 3 starts(5, 5) ends(29, 10) in (x, y) format
Index 260->Feature of type 0 starts(5, 5) ends(29, 11) in (x, y) format
Index 261->Feature of type 1 starts(5, 5) ends(29, 11) in (x, y) format
Index 262->Feature of type 2 starts(5, 5) ends(29, 11) in (x, y) format
Index 263->Feature of type 3 starts(5, 5) ends(29, 11) in (x, y) format
Index 264->Feature of type 0 starts(5, 5) ends(30, 9) in (x, y) format
Index 265->Feature of type 1 starts(5, 5) ends(30, 9) in (x, y) format
Index 266->Feature of type 2 starts(5, 5) ends(30, 9) in (x, y) format
Index 267->Feature of type 3 starts(5, 5) ends(30, 9) in (x, y) format
Index 268->Feature of type 0 starts(5, 5) ends(30, 10) in (x, y) format
Index 269->Feature of type 1 starts(5, 5) ends(30, 10) in (x, y) format
Index 270->Feature of type 2 starts(5, 5) ends(30, 10) in (x, y) format
Index 271->Feature of type 3 starts(5, 5) ends(30, 10) in (x, y) format
Index 272->Feature of type 0 starts(5, 5) ends(30, 11) in (x, y) format
Index 273->Feature of type 1 starts(5, 5) ends(30, 11) in (x, y) format
Index 274->Feature of type 2 starts(5, 5) ends(30, 11) in (x, y) format
Index 275->Feature of type 3 starts(5, 5) ends(30, 11) in (x, y) format
Index 276->Feature of type 0 starts(5, 5) ends(31, 9) in (x, y) format
Index 277->Feature of type 1 starts(5, 5) ends(31, 9) in (x, y) format
Index 278->Feature of type 2 starts(5, 5) ends(31, 9) in (x, y) format
Index 279->Feature of type 3 starts(5, 5) ends(31, 9) in (x, y) format
Index 280->Feature of type 0 starts(5, 5) ends(31, 10) in (x, y) format
Index 281->Feature of type 1 starts(5, 5) ends(31, 10) in (x, y) format
Index 282->Feature of type 2 starts(5, 5) ends(31, 10) in (x, y) format
Index 283->Feature of type 3 starts(5, 5) ends(31, 10) in (x, y) format
Index 284->Feature of type 0 starts(5, 5) ends(31, 11) in (x, y) format
Index 285->Feature of type 1 starts(5, 5) ends(31, 11) in (x, y) format
Index 286->Feature of type 2 starts(5, 5) ends(31, 11) in (x, y) format
Index 287->Feature of type 3 starts(5, 5) ends(31, 11) in (x, y) format
Index 288->Feature of type 0 starts(6, 5) ends(25, 9) in (x, y) format
Index 289->Feature of type 1 starts(6, 5) ends(25, 9) in (x, y) format
Index 290->Feature of type 2 starts(6, 5) ends(25, 9) in (x, y) format
Index 291->Feature of type 3 starts(6, 5) ends(25, 9) in (x, y) format
Index 292->Feature of type 0 starts(6, 5) ends(25, 10) in (x, y) format
Index 293->Feature of type 1 starts(6, 5) ends(25, 10) in (x, y) format
Index 294->Feature of type 2 starts(6, 5) ends(25, 10) in (x, y) format
Index 295->Feature of type 3 starts(6, 5) ends(25, 10) in (x, y) format
Index 296->Feature of type 0 starts(6, 5) ends(25, 11) in (x, y) format
Index 297->Feature of type 1 starts(6, 5) ends(25, 11) in (x, y) format
Index 298->Feature of type 2 starts(6, 5) ends(25, 11) in (x, y) format
Index 299->Feature of type 3 starts(6, 5) ends(25, 11) in (x, y) format
Index 300->Feature of type 0 starts(6, 5) ends(26, 9) in (x, y) format
Index 301->Feature of type 1 starts(6, 5) ends(26, 9) in (x, y) format
Index 302->Feature of type 2 starts(6, 5) ends(26, 9) in (x, y) format
Index 303->Feature of type 3 starts(6, 5) ends(26, 9) in (x, y) format
Index 304->Feature of type 0 starts(6, 5) ends(26, 10) in (x, y) format
Index 305->Feature of type 1 starts(6, 5) ends(26, 10) in (x, y) format
Index 306->Feature of type 2 starts(6, 5) ends(26, 10) in (x, y) format
Index 307->Feature of type 3 starts(6, 5) ends(26, 10) in (x, y) format
Index 308->Feature of type 0 starts(6, 5) ends(26, 11) in (x, y) format
Index 309->Feature of type 1 starts(6, 5) ends(26, 11) in (x, y) format
Index 310->Feature of type 2 starts(6, 5) ends(26, 11) in (x, y) format
Index 311->Feature of type 3 starts(6, 5) ends(26, 11) in (x, y) format
Index 312->Feature of type 0 starts(6, 5) ends(27, 9) in (x, y) format
Index 313->Feature of type 1 starts(6, 5) ends(27, 9) in (x, y) format
Index 314->Feature of type 2 starts(6, 5) ends(27, 9) in (x, y) format
Index 315->Feature of type 3 starts(6, 5) ends(27, 9) in (x, y) format
Index 316->Feature of type 0 starts(6, 5) ends(27, 10) in (x, y) format
Index 317->Feature of type 1 starts(6, 5) ends(27, 10) in (x, y) format
Index 318->Feature of type 2 starts(6, 5) ends(27, 10) in (x, y) format
Index 319->Feature of type 3 starts(6, 5) ends(27, 10) in (x, y) format
Index 320->Feature of type 0 starts(6, 5) ends(27, 11) in (x, y) format
Index 321->Feature of type 1 starts(6, 5) ends(27, 11) in (x, y) format
Index 322->Feature of type 2 starts(6, 5) ends(27, 11) in (x, y) format
Index 323->Feature of type 3 starts(6, 5) ends(27, 11) in (x, y) format
Index 324->Feature of type 0 starts(6, 5) ends(28, 9) in (x, y) format
Index 325->Feature of type 1 starts(6, 5) ends(28, 9) in (x, y) format
Index 326->Feature of type 2 starts(6, 5) ends(28, 9) in (x, y) format
Index 327->Feature of type 3 starts(6, 5) ends(28, 9) in (x, y) format
Index 328->Feature of type 0 starts(6, 5) ends(28, 10) in (x, y) format
Index 329->Feature of type 1 starts(6, 5) ends(28, 10) in (x, y) format
Index 330->Feature of type 2 starts(6, 5) ends(28, 10) in (x, y) format
Index 331->Feature of type 3 starts(6, 5) ends(28, 10) in (x, y) format
Index 332->Feature of type 0 starts(6, 5) ends(28, 11) in (x, y) format
Index 333->Feature of type 1 starts(6, 5) ends(28, 11) in (x, y) format
Index 334->Feature of type 2 starts(6, 5) ends(28, 11) in (x, y) format
Index 335->Feature of type 3 starts(6, 5) ends(28, 11) in (x, y) format
Index 336->Feature of type 0 starts(6, 5) ends(29, 9) in (x, y) format
Index 337->Feature of type 1 starts(6, 5) ends(29, 9) in (x, y) format
Index 338->Feature of type 2 starts(6, 5) ends(29, 9) in (x, y) format
Index 339->Feature of type 3 starts(6, 5) ends(29, 9) in (x, y) format
Index 340->Feature of type 0 starts(6, 5) ends(29, 10) in (x, y) format
Index 341->Feature of type 1 starts(6, 5) ends(29, 10) in (x, y) format
Index 342->Feature of type 2 starts(6, 5) ends(29, 10) in (x, y) format
Index 343->Feature of type 3 starts(6, 5) ends(29, 10) in (x, y) format
Index 344->Feature of type 0 starts(6, 5) ends(29, 11) in (x, y) format
Index 345->Feature of type 1 starts(6, 5) ends(29, 11) in (x, y) format
Index 346->Feature of type 2 starts(6, 5) ends(29, 11) in (x, y) format
Index 347->Feature of type 3 starts(6, 5) ends(29, 11) in (x, y) format
Index 348->Feature of type 0 starts(6, 5) ends(30, 9) in (x, y) format
Index 349->Feature of type 1 starts(6, 5) ends(30, 9) in (x, y) format
Index 350->Feature of type 2 starts(6, 5) ends(30, 9) in (x, y) format
Index 351->Feature of type 3 starts(6, 5) ends(30, 9) in (x, y) format
Index 352->Feature of type 0 starts(6, 5) ends(30, 10) in (x, y) format
Index 353->Feature of type 1 starts(6, 5) ends(30, 10) in (x, y) format
Index 354->Feature of type 2 starts(6, 5) ends(30, 10) in (x, y) format
Index 355->Feature of type 3 starts(6, 5) ends(30, 10) in (x, y) format
Index 356->Feature of type 0 starts(6, 5) ends(30, 11) in (x, y) format
Index 357->Feature of type 1 starts(6, 5) ends(30, 11) in (x, y) format
Index 358->Feature of type 2 starts(6, 5) ends(30, 11) in (x, y) format
Index 359->Feature of type 3 starts(6, 5) ends(30, 11) in (x, y) format
Index 360->Feature of type 0 starts(6, 5) ends(31, 9) in (x, y) format
Index 361->Feature of type 1 starts(6, 5) ends(31, 9) in (x, y) format
Index 362->Feature of type 2 starts(6, 5) ends(31, 9) in (x, y) format
Index 363->Feature of type 3 starts(6, 5) ends(31, 9) in (x, y) format
Index 364->Feature of type 0 starts(6, 5) ends(31, 10) in (x, y) format
Index 365->Feature of type 1 starts(6, 5) ends(31, 10) in (x, y) format
Index 366->Feature of type 2 starts(6, 5) ends(31, 10) in (x, y) format
Index 367->Feature of type 3 starts(6, 5) ends(31, 10) in (x, y) format
Index 368->Feature of type 0 starts(6, 5) ends(31, 11) in (x, y) format
Index 369->Feature of type 1 starts(6, 5) ends(31, 11) in (x, y) format
Index 370->Feature of type 2 starts(6, 5) ends(31, 11) in (x, y) format
Index 371->Feature of type 3 starts(6, 5) ends(31, 11) in (x, y) format
Index 372->Feature of type 0 starts(6, 5) ends(31, 9) in (x, y) format
Index 373->Feature of type 1 starts(6, 5) ends(31, 9) in (x, y) format
Index 374->Feature of type 2 starts(6, 5) ends(31, 9) in (x, y) format
Index 375->Feature of type 3 starts(6, 5) ends(31, 9) in (x, y) format
Index 376->Feature of type 0 starts(6, 5) ends(31, 10) in (x, y) format
Index 377->Feature of type 1 starts(6, 5) ends(31, 10) in (x, y) format
