Index 397->Feature of type 1 starts(3, 9) ends(23, 13) is 0
Index 398->Feature of type 2 starts(3, 9) ends(23, 13) is 0
Index 399->Feature of type 3 starts(3, 9) ends(23, 13) is 0
Index 400->Feature of type 0 starts(3, 9) ends(23, 14) is 0
Index 401->Feature of type 1 starts(3, 9) ends(23, 14) is 0
Index 402->Feature of type 2 starts(3, 9) ends(23, 14) is 0
Index 403->Feature of type 3 starts(3, 9) ends(23, 14) is 0
Index 404->Feature of type 0 starts(3, 9) ends(23, 15) is 0
Index 405->Feature of type 1 starts(3, 9) ends(23, 15) is 0
Index 406->Feature of type 2 starts(3, 9) ends(23, 15) is 0
Index 407->Feature of type 3 starts(3, 9) ends(23, 15) is 0
Index 408->Feature of type 0 starts(3, 9) ends(24, 13) is 0
Index 409->Feature of type 1 starts(3, 9) ends(24, 13) is 0
Index 410->Feature of type 2 starts(3, 9) ends(24, 13) is 0
Index 411->Feature of type 3 starts(3, 9) ends(24, 13) is 0
Index 412->Feature of type 0 starts(3, 9) ends(24, 14) is 0
Index 413->Feature of type 1 starts(3, 9) ends(24, 14) is 0
Index 414->Feature of type 2 starts(3, 9) ends(24, 14) is 0
Index 415->Feature of type 3 starts(3, 9) ends(24, 14) is 0
Index 416->Feature of type 0 starts(3, 9) ends(24, 15) is 0
Index 417->Feature of type 1 starts(3, 9) ends(24, 15) is 0
Index 418->Feature of type 2 starts(3, 9) ends(24, 15) is 0
Index 419->Feature of type 3 starts(3, 9) ends(24, 15) is 0
Index 420->Feature of type 0 starts(3, 9) ends(25, 13) is 0
Index 421->Feature of type 1 starts(3, 9) ends(25, 13) is 0
Index 422->Feature of type 2 starts(3, 9) ends(25, 13) is 0
Index 423->Feature of type 3 starts(3, 9) ends(25, 13) is 0
